config,learning_rate,batch_size,mean_over_seeds,std_over_seeds,runs,avg_minutes
B,0.0001,256,339.0296148,28.347040126478323,2,9.8588054339091
D,0.0001,512,314.34679625,28.529231209109234,2,9.892701737085979
A,0.0003,256,279.73292335,29.707324139574595,2,9.922094162305196
C,0.0003,512,278.18086465,11.417988435144192,2,9.937541782855988
